,K00613,K18966,K18592,K15372,K15551,K01442,K03119,K10712,K10831,K15552,K23235,K01594,K00659,K01580,K03851,K00681
kofamscan/ko_tables/taurine/MMETSP0347_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1394_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0096_clean.csv,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0811_clean.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP0417_clean.csv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0087_clean.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kofamscan/ko_tables/taurine/MMETSP1117_clean.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0603_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0734_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0011_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1401_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kofamscan/ko_tables/taurine/MMETSP1412_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1469_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1035_clean.csv,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0938_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP0092_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0820_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0993_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0909_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0160_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1049_clean.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
